1-2 toe syndactyly	HP:0010711
Abnormal fifth cranial nerve physiology	HP:0031911
Abnormal finger flexion creases	HP:0006143
Abnormal finger phalanx morphology	HP:0005918
Abnormal fingernail morphology	HP:0001231
Abnormal fingertip morphology	HP:0001211
Abnormal flash visual evoked potentials	HP:0007928
Abnormal flow cytometry test result	HP:0031550
Abnormal foot bone ossification	HP:0010675
Abnormal foot morphology	HP:0001760
Abnormal foramen magnum morphology	HP:0002699
Abnormal forearm bone morphology	HP:0040073
Abnormal form of the vertebral bodies	HP:0003312
Abnormal fourth ventricle morphology	HP:0010950
Abnormal foveal morphology	HP:0000493
Abnormal foveal morphology on macular OCT	HP:0030613
Abnormal frontal bone morphology	HP:0430000
Abnormal full-field electroretinogram	HP:0030466
Abnormal fundus autofluorescence imaging	HP:0030602
Abnormal fundus morphology	HP:0001098
Abnormal gallbladder morphology	HP:0012437
Abnormal gallbladder physiology	HP:0012438
Abnormal gametogenesis	HP:0033337
Abnormal gastric mucosa morphology	HP:0004295
Abnormal gastrointestinal motility	HP:0030895
Abnormal gastrointestinal transit time	HP:0030896
Abnormal genital pigmentation	HP:0012293
Abnormal germ cell morphology	HP:0012862
Abnormal glial cell morphology	HP:0100705
Abnormal globus pallidus morphology	HP:0002453
Abnormal glomerular basement membrane morphology	HP:0033282
Abnormal glomerular filtration rate	HP:0012212
Abnormal glomerular mesangial cellularity	HP:0033231
Abnormal glomerular mesangium morphology	HP:0001966
Abnormal glomerular visceral epithelial cell morphology	HP:0031265
Abnormal glucagon level	HP:0030687
Abnormal glucose homeostasis	HP:0011014
Abnormal glucose-6-phosphate dehydrogenase level	HP:0410176
Abnormal glucose-6-phosphate dehydrogenase level in blood	HP:0410177
Abnormal glycosphingolipid metabolism	HP:0004343
Abnormal glycosylation	HP:0012345
Abnormal gonadotropin-releasing hormone concentration	HP:0500012
Abnormal granulocyte count	HP:0032309
Abnormal granulocyte morphology	HP:0001911
Abnormal granulocytopoietic cell morphology	HP:0012135
Abnormal greater sciatic notch morphology	HP:0010456
Abnormal growth hormone level	HP:0032367
Abnormal hair laboratory examination	HP:0003328
Abnormal hair morphology	HP:0001595
Abnormal hair pattern	HP:0010720
Abnormal hair quantity	HP:0011362
Abnormal hair whorl	HP:0010721
Abnormal hallux phalanx morphology	HP:0010057
Abnormal hand bone ossification	HP:0010660
Abnormal hand epiphysis morphology	HP:0005924
Abnormal hand metaphysis morphology	HP:0005923
Abnormal hand morphology	HP:0005922
Abnormal haptoglobin level	HP:0020179
Abnormal hard palate morphology	HP:0100737
Abnormal head movements	HP:0002457
Abnormal heart morphology	HP:0001627
Abnormal heart rate variability	HP:0031860
Abnormal heart sound	HP:0031657
Abnormal heart valve morphology	HP:0001654
Abnormal heart valve physiology	HP:0031653
Abnormal helix morphology	HP:0011039
Abnormal helper T cell proportion	HP:0500263
Abnormal hematocrit	HP:0031850
Abnormal hemidiaphragm morphology	HP:0040045
Abnormal hemoglobin	HP:0011902
Abnormal hemoglobin concentration	HP:0020061
Abnormal hepatic echogenicity	HP:0031142
Abnormal hepatic glycogen storage	HP:0500030
Abnormal hepatic iron concentration	HP:0040134
Abnormal hepcidin level	HP:0031875
Abnormal hip bone morphology	HP:0003272
Abnormal hip joint morphology	HP:0001384
Abnormal hippocampus morphology	HP:0025100
Abnormal homeostasis	HP:0012337
Abnormal humeral ossification	HP:0012791
Abnormal humerus morphology	HP:0031095
Abnormal hyoid bone morphology	HP:3000052
Abnormal hypothalamus morphology	HP:0012286
Abnormal hypothalamus physiology	HP:0012285
Abnormal iduronate sulfatase concentration	HP:0034202
Abnormal ileum morphology	HP:0001549
Abnormal iliac artery morphology	HP:4000066
Abnormal iliac wing morphology	HP:0011867
Abnormal ilium morphology	HP:0002867
Abnormal immune system morphology	HP:0032251
Abnormal immunoglobulin level	HP:0010701
Abnormal immunoglobulin level in body fluid	HP:0041076
Abnormal incisor morphology	HP:0011063
Abnormal incisura morphology	HP:0031228
Abnormal inferior oblique muscle physiology	HP:0025596
Abnormal inferior vena cava morphology	HP:0025576
Abnormal inflammatory response	HP:0012647
Abnormal insulin level	HP:0040214
Abnormal insulin like growth factor binding protein acid labile subunit level	HP:0031034
Abnormal intermamillary distance	HP:0040157
Abnormal internal carotid artery morphology	HP:3000062
Abnormal internal genitalia	HP:0000812
Abnormal intervertebral disk morphology	HP:0005108
Abnormal intestine morphology	HP:0002242
Abnormal intraocular pressure	HP:0012632
Abnormal intrarenal artery morphology	HP:0033836
Abnormal involuntary eye movements	HP:0012547
Abnormal iris pigmentation	HP:0008034
Abnormal iris vasculature	HP:0007905
Abnormal iron deposition in mitochondria	HP:0008306
Abnormal isoelectric focusing of serum transferrin	HP:0003160
Abnormal isohemagglutinin level	HP:0410292
Abnormal jaw morphology	HP:0030791
Abnormal jejunum morphology	HP:0005265
Abnormal joint morphology	HP:0001367
Abnormal jugular venous pressure	HP:0030847
Abnormal kinetic perimetry test	HP:0030591
Abnormal labia majora morphology	HP:0012881
Abnormal labia minora morphology	HP:0012880
Abnormal labia morphology	HP:0000058
Abnormal lacrimal duct morphology	HP:0011481
Abnormal lacrimal gland morphology	HP:0011482
Abnormal lacrimal punctum morphology	HP:0011479
Abnormal lactate dehydrogenase level	HP:0045040
Abnormal large intestinal mucosa morphology	HP:0025090
Abnormal large intestine morphology	HP:0002250
Abnormal large intestine physiology	HP:0012700
Abnormal larynx morphology	HP:0025423
Abnormal larynx physiology	HP:0025424
Abnormal lateral ventricle morphology	HP:0030047
Abnormal left atrium morphology	HP:0025579
Abnormal left hemidiaphragm morphology	HP:0040046
Abnormal left ventricle morphology	HP:0001711
Abnormal left ventricular function	HP:0005162
Abnormal left ventricular outflow tract morphology	HP:0011103
Abnormal length of corpus callosum	HP:0200011
Abnormal leukocyte count	HP:0011893
